-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2000,28.0,65.625,2.67,1.11,0.06,11.49,1.98,0.33,0.0,9.86,0.0,0.0,10.34,4.45,42.29
PRECTOTCORR_SUM,2000,28.0,66.25,1.66,0.77,0.0,4.7,0.63,0.1,0.0,12.97,0.0,0.0,5.61,4.62,31.06
PRECTOTCORR_SUM,2000,28.0,66.875,1.14,0.5,0.0,2.65,0.25,0.04,0.01,12.31,0.0,0.0,3.44,4.06,24.4
PRECTOTCORR_SUM,2000,28.0,67.5,0.47,0.21,0.0,0.34,0.01,0.0,0.03,7.54,0.0,0.0,0.62,2.33,11.55
PRECTOTCORR_SUM,2000,28.0,68.125,0.41,0.18,0.0,0.08,0.0,0.0,0.22,1.89,0.0,0.05,0.02,0.62,3.47
PRECTOTCORR_SUM,2000,28.0,68.75,0.59,0.21,0.09,0.09,0.0,0.0,3.2,0.55,0.0,0.47,0.0,0.06,5.26
PRECTOTCORR_SUM,2000,28.0,69.375,0.57,0.22,0.11,0.1,0.0,0.0,4.63,0.68,0.0,0.58,0.0,0.07,6.96
PRECTOTCORR_SUM,2000,28.0,70.0,0.59,0.35,0.26,0.11,0.01,0.04,13.32,1.41,0.0,1.26,0.01,0.02,17.38
PRECTOTCORR_SUM,2000,28.0,70.625,0.75,0.63,0.38,0.13,0.03,0.47,23.94,2.38,0.05,2.09,0.14,0.0,30.99
PRECTOTCORR_SUM,2000,28.5,65.625,3.46,1.02,0.07,18.39,0.89,0.17,0.0,5.47,0.0,0.0,15.83,9.71,55.01
PRECTOTCORR_SUM,2000,28.5,66.25,2.29,0.77,0.0,7.8,0.31,0.06,0.0,7.59,0.0,0.0,8.77,10.65,38.24
PRECTOTCORR_SUM,2000,28.5,66.875,1.66,0.53,0.0,4.19,0.11,0.02,0.0,7.26,0.0,0.0,5.38,9.46,28.61
PRECTOTCORR_SUM,2000,28.5,67.5,0.71,0.25,0.0,0.6,0.01,0.0,0.03,4.5,0.0,0.0,1.13,5.33,12.56
PRECTOTCORR_SUM,2000,28.5,68.125,0.47,0.21,0.02,0.1,0.0,0.0,0.34,1.17,0.0,0.02,0.08,1.54,3.95
PRECTOTCORR_SUM,2000,28.5,68.75,0.89,0.32,0.3,0.11,0.0,0.02,2.65,0.25,0.0,0.22,0.04,0.24,5.04
PRECTOTCORR_SUM,2000,28.5,69.375,0.88,0.34,0.35,0.12,0.0,0.02,3.12,0.26,0.0,0.28,0.03,0.23,5.63
PRECTOTCORR_SUM,2000,28.5,70.0,1.08,0.51,0.76,0.13,0.01,0.06,6.44,0.47,0.01,0.56,0.04,0.09,10.16
PRECTOTCORR_SUM,2000,28.5,70.625,1.38,0.78,1.21,0.15,0.02,0.41,11.19,0.83,0.05,0.97,0.1,0.03,17.12
PRECTOTCORR_SUM,2000,29.0,65.625,4.39,1.17,0.06,22.32,0.31,0.06,0.0,2.3,0.0,0.0,20.79,19.34,70.74
PRECTOTCORR_SUM,2000,29.0,66.25,3.29,1.08,0.0,9.6,0.14,0.02,0.0,3.14,0.0,0.0,12.01,22.75,52.03
PRECTOTCORR_SUM,2000,29.0,66.875,2.48,0.83,0.0,4.7,0.04,0.01,0.0,3.04,0.0,0.0,7.25,20.66,39.01
PRECTOTCORR_SUM,2000,29.0,67.5,1.16,0.43,0.0,0.73,0.0,0.0,0.13,2.08,0.0,0.0,1.66,11.67,17.86
PRECTOTCORR_SUM,2000,29.0,68.125,0.84,0.37,0.06,0.12,0.0,0.0,1.2,0.84,0.0,0.0,0.19,3.46,7.08
PRECTOTCORR_SUM,2000,29.0,68.75,1.76,0.56,0.68,0.15,0.06,0.08,5.71,0.53,0.05,0.06,0.15,0.83,10.62
PRECTOTCORR_SUM,2000,29.0,69.375,1.3,0.47,0.53,0.13,0.03,0.05,3.2,0.42,0.02,0.04,0.13,1.32,7.64
PRECTOTCORR_SUM,2000,29.0,70.0,2.35,0.76,2.34,0.17,0.12,0.24,8.33,0.45,0.11,0.17,0.12,0.29,15.45
PRECTOTCORR_SUM,2000,29.0,70.625,2.94,0.97,4.02,0.17,0.11,0.5,10.31,0.4,0.1,0.33,0.11,0.16,20.12
PRECTOTCORR_SUM,2000,29.5,65.625,5.68,1.68,0.05,20.85,0.07,0.01,0.0,0.95,0.0,0.0,23.57,34.33,87.19
PRECTOTCORR_SUM,2000,29.5,66.25,4.8,1.63,0.0,8.47,0.04,0.0,0.0,1.07,0.0,0.0,14.34,42.44,72.79
PRECTOTCORR_SUM,2000,29.5,66.875,3.73,1.24,0.0,3.67,0.01,0.0,0.04,1.02,0.0,0.0,8.35,39.64,57.7
PRECTOTCORR_SUM,2000,29.5,67.5,2.04,0.67,0.0,0.62,0.0,0.0,0.6,0.87,0.0,0.0,1.95,24.04,30.79
PRECTOTCORR_SUM,2000,29.5,68.125,1.78,0.67,0.11,0.15,0.03,0.01,4.2,0.93,0.02,0.0,0.38,7.77,16.05
PRECTOTCORR_SUM,2000,29.5,68.75,3.2,0.93,1.09,0.18,0.37,0.23,16.27,1.8,0.29,0.01,0.37,2.05,26.79
PRECTOTCORR_SUM,2000,29.5,69.375,2.54,0.84,1.07,0.16,0.21,0.16,9.5,1.09,0.16,0.01,0.33,3.18,19.25
PRECTOTCORR_SUM,2000,29.5,70.0,4.47,1.22,5.17,0.2,0.7,0.65,18.87,1.44,0.56,0.03,0.28,0.84,34.43
PRECTOTCORR_SUM,2000,29.5,70.625,5.64,1.51,9.76,0.18,0.64,0.93,16.47,0.79,0.46,0.09,0.19,0.73,37.39
PRECTOTCORR_SUM,2001,28.0,65.625,0.0,2.31,2.09,19.23,0.0,1.68,17.2,8.66,0.27,0.0,7.33,0.11,58.88
PRECTOTCORR_SUM,2001,28.0,66.25,0.0,1.69,2.07,22.6,0.0,1.74,20.58,11.95,0.51,0.0,3.24,0.08,64.46
PRECTOTCORR_SUM,2001,28.0,66.875,0.0,1.28,2.31,20.42,0.02,2.04,19.12,11.04,1.32,0.0,1.51,0.08,59.14
PRECTOTCORR_SUM,2001,28.0,67.5,0.0,0.82,3.41,12.21,0.1,2.81,12.4,6.07,2.99,0.0,0.15,0.06,41.02
PRECTOTCORR_SUM,2001,28.0,68.125,0.0,0.66,4.28,6.38,0.4,2.42,5.2,1.41,1.99,0.0,0.0,0.15,22.89
PRECTOTCORR_SUM,2001,28.0,68.75,0.1,0.91,3.07,8.72,2.02,2.41,8.1,4.05,0.91,0.03,0.0,0.66,30.98
PRECTOTCORR_SUM,2001,28.0,69.375,0.11,0.93,3.04,8.92,2.48,2.56,10.87,5.64,1.01,0.06,0.0,0.75,36.37
PRECTOTCORR_SUM,2001,28.0,70.0,0.28,1.17,2.4,11.21,5.57,2.93,27.36,15.52,0.73,0.17,0.0,1.02,68.36
PRECTOTCORR_SUM,2001,28.0,70.625,0.48,1.24,1.7,11.95,9.63,3.91,47.31,26.98,0.53,0.56,0.0,0.93,105.22
PRECTOTCORR_SUM,2001,28.5,65.625,0.0,2.45,3.04,11.0,0.0,1.12,9.43,4.77,0.56,0.0,4.17,0.42,36.96
PRECTOTCORR_SUM,2001,28.5,66.25,0.0,2.37,3.52,13.64,0.0,1.46,12.1,6.84,1.13,0.0,1.81,0.4,43.27
PRECTOTCORR_SUM,2001,28.5,66.875,0.0,2.05,3.78,12.58,0.01,2.66,12.0,6.44,3.42,0.0,0.76,0.35,44.05
PRECTOTCORR_SUM,2001,28.5,67.5,0.0,1.45,4.53,8.09,0.09,5.77,9.87,3.76,9.15,0.0,0.07,0.2,42.98
PRECTOTCORR_SUM,2001,28.5,68.125,0.04,1.29,5.82,5.15,0.5,6.4,7.0,1.23,8.78,0.0,0.0,0.08,36.29
PRECTOTCORR_SUM,2001,28.5,68.75,0.51,1.95,5.11,9.84,2.38,6.18,9.59,3.98,4.37,0.0,0.0,0.38,44.29
PRECTOTCORR_SUM,2001,28.5,69.375,0.61,1.96,4.89,10.42,2.71,6.05,10.26,4.99,4.16,0.0,0.0,0.44,46.49
PRECTOTCORR_SUM,2001,28.5,70.0,1.4,2.18,3.73,14.19,4.69,5.76,15.98,10.75,2.57,0.03,0.0,1.02,62.3
PRECTOTCORR_SUM,2001,28.5,70.625,2.33,1.99,2.48,14.62,7.03,5.35,23.81,17.96,1.69,0.24,0.0,1.57,79.07
PRECTOTCORR_SUM,2001,29.0,65.625,0.0,2.98,3.93,4.89,0.0,0.82,3.92,1.76,0.99,0.0,1.85,1.28,22.42
PRECTOTCORR_SUM,2001,29.0,66.25,0.0,3.44,4.93,5.87,0.0,1.4,5.12,2.46,2.01,0.0,0.82,1.43,27.48
PRECTOTCORR_SUM,2001,29.0,66.875,0.0,3.16,5.02,5.49,0.0,3.81,6.06,2.34,6.57,0.0,0.29,1.31,34.05
PRECTOTCORR_SUM,2001,29.0,67.5,0.0,2.25,4.86,4.11,0.12,10.48,8.19,1.52,18.85,0.0,0.03,0.79,51.2
PRECTOTCORR_SUM,2001,29.0,68.125,0.1,2.14,5.81,4.97,0.96,14.32,11.18,1.07,22.53,0.0,0.0,0.27,63.35
PRECTOTCORR_SUM,2001,29.0,68.75,1.18,3.69,6.56,13.51,3.66,14.82,19.2,4.1,12.02,0.0,0.0,0.72,79.46
PRECTOTCORR_SUM,2001,29.0,69.375,0.95,2.82,6.17,9.22,2.4,14.17,14.77,3.02,17.01,0.0,0.0,0.63,71.16
PRECTOTCORR_SUM,2001,29.0,70.0,4.39,3.81,4.93,17.9,5.32,12.36,21.26,9.77,6.72,0.01,0.0,2.6,89.07
PRECTOTCORR_SUM,2001,29.0,70.625,7.94,2.96,3.1,16.1,6.15,9.34,21.43,15.74,6.01,0.08,0.0,4.74,93.59
PRECTOTCORR_SUM,2001,29.5,65.625,0.0,4.0,4.36,2.84,0.0,0.71,1.96,0.53,1.3,0.0,0.53,2.95,19.18
PRECTOTCORR_SUM,2001,29.5,66.25,0.0,4.95,5.48,3.19,0.0,1.44,2.59,0.56,2.62,0.0,0.25,3.63,24.71
PRECTOTCORR_SUM,2001,29.5,66.875,0.0,4.72,5.42,3.02,0.01,4.74,4.03,0.51,8.79,0.0,0.07,3.5,34.81
PRECTOTCORR_SUM,2001,29.5,67.5,0.01,3.54,4.95,2.73,0.23,13.79,8.2,0.5,25.21,0.0,0.0,2.22,61.38
PRECTOTCORR_SUM,2001,29.5,68.125,0.21,3.32,5.93,6.05,1.61,21.57,15.54,0.98,34.12,0.0,0.0,0.79,90.12
PRECTOTCORR_SUM,2001,29.5,68.75,1.83,5.8,7.66,18.64,5.29,24.25,30.93,3.72,19.4,0.0,0.0,1.15,118.67
PRECTOTCORR_SUM,2001,29.5,69.375,1.87,4.55,6.66,12.89,3.72,23.81,24.41,2.98,27.9,0.0,0.0,1.29,110.08
PRECTOTCORR_SUM,2001,29.5,70.0,9.39,5.89,6.14,22.12,6.54,21.68,34.06,8.79,12.95,0.0,0.0,5.32,132.88
PRECTOTCORR_SUM,2001,29.5,70.625,18.85,4.09,3.73,17.03,5.92,16.53,28.16,14.21,16.03,0.02,0.0,10.85,135.42
PRECTOTCORR_SUM,2002,28.0,65.625,1.05,3.79,3.73,0.37,13.03,0.0,0.0,0.33,0.01,0.01,26.9,0.28,49.5
PRECTOTCORR_SUM,2002,28.0,66.25,0.79,4.82,4.03,0.12,13.2,0.0,0.0,0.06,0.0,0.04,23.51,0.35,46.92
PRECTOTCORR_SUM,2002,28.0,66.875,0.74,4.59,4.35,0.06,11.7,0.0,0.0,0.04,0.0,0.09,18.85,0.4,40.82
PRECTOTCORR_SUM,2002,28.0,67.5,0.63,3.1,4.84,0.0,7.42,0.0,0.0,0.02,0.01,0.09,8.35,0.56,25.02
PRECTOTCORR_SUM,2002,28.0,68.125,0.47,1.5,5.18,0.02,2.44,0.03,0.0,0.0,0.16,0.05,1.79,0.57,12.21
PRECTOTCORR_SUM,2002,28.0,68.75,0.22,0.85,5.08,0.16,1.54,0.39,0.0,0.02,1.61,0.15,0.22,0.94,11.18
PRECTOTCORR_SUM,2002,28.0,69.375,0.21,0.88,4.99,0.18,2.17,0.51,0.0,0.03,2.08,0.16,0.24,1.07,12.52
PRECTOTCORR_SUM,2002,28.0,70.0,0.11,0.96,4.74,0.33,5.42,1.32,0.0,0.1,4.85,0.16,0.31,1.83,20.13
PRECTOTCORR_SUM,2002,28.0,70.625,0.04,1.02,4.79,0.61,8.92,2.45,0.0,0.41,8.3,0.09,0.53,2.86,30.02
PRECTOTCORR_SUM,2002,28.5,65.625,1.27,2.53,2.55,0.54,20.99,0.0,0.0,0.28,0.0,0.0,31.08,0.62,59.86
PRECTOTCORR_SUM,2002,28.5,66.25,1.37,3.3,2.9,0.16,25.53,0.01,0.0,0.02,0.0,0.0,24.89,0.74,58.92
